Rank,Score,Name,ID,Link,Type,Episodes,Start Date,End Date,Status,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographics,Duration,Rating,Popularity,Members,Favorites,Aired start,Aired end
72,8.68,Mushishi Zoku Shou,21939,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,TV,10,Apr 2014,Jun 2014,Finished Airing,Spring 2014,Saturdays at 00:00 (JST),,,Artland,Manga,"Adventure, Mystery, Slice of Life, Supernatural",Seinen,24 min. per ep.,PG-13 - Teens 13 or older,#843,"320,741","1,630","Apr 5, 2014","Jun 21, 2014"
73,8.67,Mononoke Hime,164,https://myanimelist.net/anime/164/Mononoke_Hime,Movie,1,Jul 1997,Jul 1997,Finished Airing,N/A,N/A,,,Studio Ghibli,Original,"Action, Adventure, Award Winning, Fantasy",N/A,2 hr. 13 min.,PG-13 - Teens 13 or older,#106,"1,347,737","23,683",N/A,N/A
74,8.67,Bleach: Sennen Kessen-hen - Soukoku-tan,56784,https://myanimelist.net/anime/56784/Bleach__Sennen_Kessen-hen_-_Soukoku-tan,TV,14,Oct 2024,Dec 2024,Finished Airing,Fall 2024,Saturdays at 23:00 (JST),,"None found,",Pierrot Films,Manga,"Action, Adventure, Supernatural",Shounen,24 min. per ep.,R - 17+ (violence &amp; profanity),#1046,"260,820","3,473","Oct 5, 2024","Dec 28, 2024"
75,8.67,Hajime no Ippo: New Challenger,5258,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger,TV,26,Jan 2009,Jul 2009,Finished Airing,Winter 2009,Wednesdays at 01:29 (JST),,"None found,",Madhouse,Manga,Sports,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#860,"316,406","1,919","Jan 7, 2009","Jul 1, 2009"
76,8.67,Howl no Ugoku Shiro,431,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro,Movie,1,Nov 2004,Nov 2004,Finished Airing,N/A,N/A,,,Studio Ghibli,Novel,"Adventure, Award Winning, Drama, Fantasy, Romance",N/A,1 hr. 59 min.,G - All Ages,#100,"1,449,985","31,149",N/A,N/A
77,8.66,Monogatari Series: Off &amp; Monster Season,57864,https://myanimelist.net/anime/57864/Monogatari_Series__Off___Monster_Season,ONA,14,Jul 2024,Oct 2024,Finished Airing,N/A,N/A,,,Shaft,Light novel,"Comedy, Mystery, Supernatural",N/A,25 min. per ep.,R - 17+ (violence &amp; profanity),#2389,"95,258",853,"Jul 6, 2024","Oct 19, 2024"
78,8.65,Mushishi,457,https://myanimelist.net/anime/457/Mushishi,TV,26,Oct 2005,Jun 2006,Finished Airing,Fall 2005,Sundays at 03:40 (JST),,,Artland,Manga,"Adventure, Mystery, Slice of Life, Supernatural",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,#224,"886,080","27,973","Oct 23, 2005","Jun 19, 2006"
79,8.65,Tian Guan Cifu Er,50399,https://myanimelist.net/anime/50399/Tian_Guan_Cifu_Er,ONA,12,Oct 2023,Jan 2024,Finished Airing,N/A,N/A,,"None found,",Red Dog Culture House,Web novel,"Action, Adventure, Drama, Fantasy",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#3125,"60,411","1,252","Oct 18, 2023","Jan 17, 2024"
80,8.65,Guimi Zhi Zhu: Xiaochou Pian,49818,https://myanimelist.net/anime/49818/Guimi_Zhi_Zhu__Xiaochou_Pian,ONA,13,Jun 2025,Aug 2025,Finished Airing,N/A,N/A,,"None found,",B.CMAY PICTURES,Web novel,"Action, Fantasy, Mystery, Suspense",N/A,35 min. per ep.,R - 17+ (violence &amp; profanity),#1697,"151,315","2,942","Jun 28, 2025","Aug 16, 2025"
81,8.64,Fate/stay night Movie: Heaven&#039;s Feel - III. Spring Song,33050,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,Movie,1,Aug 2020,Aug 2020,Finished Airing,N/A,N/A,,,ufotable,Visual novel,"Action, Fantasy",N/A,2 hr. 2 min.,R - 17+ (violence &amp; profanity),#670,"391,462","8,388",N/A,N/A
82,8.64,Kingdom 6th Season,61517,https://myanimelist.net/anime/61517/Kingdom_6th_Season,,,Oct 2025,,Currently Airing,Fall 2025,Sundays at 00:10 (JST),,"None found,","Studio Pierrot, Studio Signpost",Manga,Action,Seinen,24 min.,R - 17+ (violence &amp; profanity),#5462,"18,938",163,N/A,N/A
83,8.64,Odd Taxi,46102,https://myanimelist.net/anime/46102/Odd_Taxi,TV,13,Apr 2021,Jun 2021,Finished Airing,Spring 2021,Tuesdays at 02:00 (JST),,"None found,","OLM, P.I.C.S.",Original,"Award Winning, Drama, Mystery, Suspense",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#510,"490,624","8,951","Apr 6, 2021","Jun 29, 2021"
84,8.64,Ore dake Level Up na Ken Season 2: Arise from the Shadow,58567,https://myanimelist.net/anime/58567/Ore_dake_Level_Up_na_Ken_Season_2__Arise_from_the_Shadow,TV,13,Jan 2025,Mar 2025,Finished Airing,Winter 2025,Sundays at 00:00 (JST),,"None found,",A-1 Pictures,Web manga,"Action, Adventure, Fantasy",N/A,23 min. per ep.,R - 17+ (violence &amp; profanity),#344,"679,909","10,721","Jan 5, 2025","Mar 30, 2025"
85,8.64,Shigatsu wa Kimi no Uso,23273,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,TV,22,Oct 2014,Mar 2015,Finished Airing,Fall 2014,Fridays at 01:20 (JST),,,A-1 Pictures,Manga,"Drama, Romance",Shounen,22 min. per ep.,PG-13 - Teens 13 or older,#24,"2,363,737","88,995","Oct 10, 2014","Mar 20, 2015"
86,8.64,Shiguang Dailiren II,49413,https://myanimelist.net/anime/49413/Shiguang_Dailiren_II,ONA,12,Jul 2023,Sep 2023,Finished Airing,N/A,N/A,,"None found,",LAN Studio,Original,"Drama, Mystery, Suspense",N/A,24 min. per ep.,R - 17+ (violence &amp; profanity),#1635,"158,984","2,088","Jul 14, 2023","Sep 22, 2023"
87,8.64,Shingeki no Kyojin Season 3,35760,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,TV,12,Jul 2018,Oct 2018,Finished Airing,Summer 2018,Mondays at 00:35 (JST),,,Wit Studio,Manga,"Action, Drama, Suspense",Shounen,23 min. per ep.,R - 17+ (violence &amp; profanity),#18,"2,580,939","21,888","Jul 23, 2018","Oct 15, 2018"
88,8.64,Tengen Toppa Gurren Lagann,2001,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,TV,27,Apr 2007,Sep 2007,Finished Airing,Spring 2007,Sundays at 08:30 (JST),,,Gainax,Original,"Adventure, Award Winning, Sci-Fi",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#66,"1,722,839","82,976","Apr 1, 2007","Sep 30, 2007"
89,8.63,Uma Musume: Pretty Derby - Shin Jidai no Tobira,57647,https://myanimelist.net/anime/57647/Uma_Musume__Pretty_Derby_-_Shin_Jidai_no_Tobira,Movie,1,May 2024,May 2024,Finished Airing,N/A,N/A,,"None found,",CygamesPictures,Game,Sports,N/A,1 hr. 47 min.,PG-13 - Teens 13 or older,#4152,"35,587",520,N/A,N/A
90,8.63,Look Back,58125,https://myanimelist.net/anime/58125/Look_Back,Movie,1,Jun 2024,Jun 2024,Finished Airing,N/A,N/A,,,Studio DURIAN,Manga,Drama,Shounen,57 min.,PG-13 - Teens 13 or older,#1357,"197,910","3,927",N/A,N/A
91,8.63,Made in Abyss,34599,https://myanimelist.net/anime/34599/Made_in_Abyss,TV,13,Jul 2017,Sep 2017,Finished Airing,Summer 2017,Fridays at 21:30 (JST),,,Kinema Citrus,Web manga,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",N/A,25 min. per ep.,R - 17+ (violence &amp; profanity),#91,"1,507,635","46,963","Jul 7, 2017","Sep 29, 2017"
92,8.63,Natsume Yuujinchou Shi,11665,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi,TV,13,Jan 2012,Mar 2012,Finished Airing,Winter 2012,Tuesdays at 01:30 (JST),,,Brain&#039;s Base,Manga,"Slice of Life, Supernatural",Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,#1040,"262,019","2,095","Jan 3, 2012","Mar 27, 2012"
93,8.62,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,40591,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,TV,12,Apr 2020,Jun 2020,Finished Airing,Spring 2020,Saturdays at 23:30 (JST),,,A-1 Pictures,Manga,"Comedy, Romance",Seinen,24 min. per ep.,PG-13 - Teens 13 or older,#98,"1,456,473","18,978","Apr 11, 2020","Jun 27, 2020"
94,8.62,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,45576,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,TV,12,Oct 2021,Dec 2021,Finished Airing,Fall 2021,Mondays at 00:00 (JST),,,Studio Bind,Light novel,"Adventure, Drama, Fantasy, Ecchi",N/A,23 min. per ep.,R - 17+ (violence &amp; profanity),#164,"1,072,319","19,117","Oct 4, 2021","Dec 20, 2021"
95,8.62,Ping Pong the Animation,22135,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation,TV,11,Apr 2014,Jun 2014,Finished Airing,Spring 2014,Fridays at 00:50 (JST),,,Tatsunoko Production,Manga,"Award Winning, Drama, Sports",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,#601,"427,442","17,063","Apr 11, 2014","Jun 20, 2014"
96,8.62,Cyberpunk: Edgerunners,42310,https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners,ONA,10,Sep 2022,Sep 2022,Finished Airing,N/A,N/A,,,Trigger,Game,"Action, Sci-Fi",N/A,25 min. per ep.,R+ - Mild Nudity,#193,"968,308","32,537",N/A,N/A
97,8.62,Death Note,1535,https://myanimelist.net/anime/1535/Death_Note,TV,37,Oct 2006,Jun 2007,Finished Airing,Fall 2006,Wednesdays at 00:56 (JST),,,Madhouse,Manga,"Supernatural, Suspense",Shounen,23 min. per ep.,R - 17+ (violence &amp; profanity),#2,"4,180,131","182,302","Oct 4, 2006","Jun 27, 2007"
98,8.62,Haikyuu!! Second Season,28891,https://myanimelist.net/anime/28891/Haikyuu_Second_Season,TV,25,Oct 2015,Mar 2016,Finished Airing,Fall 2015,Sundays at 02:58 (JST),,,Production I.G,Manga,Sports,Shounen,24 min. per ep.,PG-13 - Teens 13 or older,#87,"1,531,922","16,039","Oct 4, 2015","Mar 27, 2016"
99,8.61,Bungou Stray Dogs 5th Season,54898,https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season,TV,11,Jul 2023,Sep 2023,Finished Airing,Summer 2023,Wednesdays at 23:00 (JST),,"None found,",Bones,Manga,"Action, Mystery",Seinen,23 min. per ep.,R - 17+ (violence &amp; profanity),#1128,"241,652","2,831","Jul 12, 2023","Sep 20, 2023"
100,8.61,Haikyuu!! Movie: Gomisuteba no Kessen,52742,https://myanimelist.net/anime/52742/Haikyuu_Movie__Gomisuteba_no_Kessen,Movie,1,Feb 2024,Feb 2024,Finished Airing,N/A,N/A,,,Production I.G,Manga,Sports,Shounen,1 hr. 24 min.,PG-13 - Teens 13 or older,#1321,"203,995","1,626",N/A,N/A
101,8.61,Hajime no Ippo: Rising,19647,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising,TV,25,Oct 2013,Mar 2014,Finished Airing,Fall 2013,Sundays at 01:35 (JST),,"None found,","Madhouse, MAPPA",Manga,Sports,Shounen,22 min. per ep.,PG-13 - Teens 13 or older,#926,"289,365","1,398","Oct 6, 2013","Mar 30, 2014"
102,8.61,Natsume Yuujinchou Roku,34591,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku,TV,11,Apr 2017,Jun 2017,Finished Airing,Spring 2017,Wednesdays at 01:35 (JST),,"None found,",Shuka,Manga,"Slice of Life, Supernatural",Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,#1327,"202,072","1,143","Apr 12, 2017","Jun 21, 2017"
103,8.60,Kenpuu Denki Berserk,33,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,TV,25,Oct 1997,Apr 1998,Finished Airing,Fall 1997,Wednesdays at 01:45 (JST),,,OLM,Manga,"Action, Adventure, Drama, Fantasy, Horror",Seinen,23 min. per ep.,R+ - Mild Nudity,#300,"738,207","30,636","Oct 8, 1997","Apr 1, 1998"
104,8.60,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,36862,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei,Movie,1,Jan 2020,Jan 2020,Finished Airing,N/A,N/A,,,Kinema Citrus,Web manga,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",N/A,1 hr. 45 min.,R - 17+ (violence &amp; profanity),#472,"518,955","3,893",N/A,N/A
105,8.60,Made in Abyss: Retsujitsu no Ougonkyou,41084,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou,TV,12,Jul 2022,Sep 2022,Finished Airing,Summer 2022,Wednesdays at 22:30 (JST),,,Kinema Citrus,Web manga,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",N/A,25 min. per ep.,R - 17+ (violence &amp; profanity),#475,"517,074","6,753","Jul 6, 2022","Sep 28, 2022"
106,8.60,Dungeon Meshi,52701,https://myanimelist.net/anime/52701/Dungeon_Meshi,TV,24,Jan 2024,Jun 2024,Finished Airing,Winter 2024,Thursdays at 22:30 (JST),,"None found,",Trigger,Manga,"Adventure, Comedy, Fantasy, Gourmet",Seinen,25 min. per ep.,R - 17+ (violence &amp; profanity),#462,"527,824","11,031","Jan 4, 2024","Jun 13, 2024"
107,8.60,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,4565,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen,Movie,1,Apr 2009,Apr 2009,Finished Airing,N/A,N/A,,,Gainax,Original,Sci-Fi,N/A,2 hr. 5 min.,R+ - Mild Nudity,#1165,"232,890","1,165",N/A,N/A
108,8.59,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,38329,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,Movie,1,Jun 2019,Jun 2019,Finished Airing,N/A,N/A,,,CloverWorks,Light novel,"Drama, Romance, Supernatural",N/A,1 hr. 30 min.,PG-13 - Teens 13 or older,#275,"792,058","10,997",N/A,N/A
109,8.59,Suzumiya Haruhi no Shoushitsu,7311,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu,Movie,1,Feb 2010,Feb 2010,Finished Airing,N/A,N/A,,,Kyoto Animation,Light novel,"Award Winning, Mystery, Sci-Fi, Supernatural",N/A,2 hr. 41 min.,PG-13 - Teens 13 or older,#375,"638,718","14,029",N/A,N/A
110,8.58,Shin Evangelion Movie:||,3786,https://myanimelist.net/anime/3786/Shin_Evangelion_Movie_||,Movie,1,Mar 2021,Mar 2021,Finished Airing,N/A,N/A,"None found,",,Khara,Original,"Award Winning, Drama, Sci-Fi, Suspense",N/A,2 hr. 35 min.,PG-13 - Teens 13 or older,#629,"411,240","8,102",N/A,N/A
111,8.58,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,37991,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,TV,39,Oct 2018,Jul 2019,Finished Airing,Fall 2018,Saturdays at 01:05 (JST),,,David Production,Manga,"Action, Adventure",Shounen,23 min. per ep.,R - 17+ (violence &amp; profanity),#148,"1,124,270","34,050","Oct 6, 2018","Jul 28, 2019"
112,8.58,Mushishi Zoku Shou: Suzu no Shizuku,28957,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku,Movie,1,May 2015,May 2015,Finished Airing,N/A,N/A,,"None found,",Artland,Manga,"Adventure, Mystery, Slice of Life, Supernatural",Seinen,47 min.,PG-13 - Teens 13 or older,#1833,"138,278",234,N/A,N/A
113,8.57,Nana,877,https://myanimelist.net/anime/877/Nana,TV,47,Apr 2006,Mar 2007,Finished Airing,Spring 2006,Wednesdays at 23:25 (JST),,,Madhouse,Manga,"Drama, Romance",Shoujo,22 min. per ep.,R+ - Mild Nudity,#296,"751,215","34,050","Apr 5, 2006","Mar 28, 2007"
114,8.57,Natsume Yuujinchou Shichi,55823,https://myanimelist.net/anime/55823/Natsume_Yuujinchou_Shichi,TV,12,Oct 2024,Dec 2024,Finished Airing,Fall 2024,Tuesdays at 00:00 (JST),,"None found,",Shuka,Manga,"Slice of Life, Supernatural",Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,#3325,"53,807",503,"Oct 8, 2024","Dec 24, 2024"
115,8.56,Kizumonogatari II: Nekketsu-hen,31757,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen,Movie,1,Aug 2016,Aug 2016,Finished Airing,N/A,N/A,,,Shaft,Light novel,"Action, Mystery, Supernatural",N/A,1 hr. 8 min.,R - 17+ (violence &amp; profanity),#525,"477,390","2,437",N/A,N/A
116,8.56,Natsume Yuujinchou Go,32983,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go,TV,11,Oct 2016,Dec 2016,Finished Airing,Fall 2016,Wednesdays at 01:35 (JST),,"None found,",Shuka,Manga,"Slice of Life, Supernatural",Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,#1329,"201,941",898,"Oct 5, 2016","Dec 21, 2016"
117,8.56,Natsume Yuujinchou San,10379,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San,TV,13,Jul 2011,Sep 2011,Finished Airing,Summer 2011,Tuesdays at 01:30 (JST),,,Brain&#039;s Base,Manga,"Slice of Life, Supernatural",Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,#1011,"268,487","1,492","Jul 5, 2011","Sep 27, 2011"
118,8.56,Ookami Kodomo no Ame to Yuki,12355,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki,Movie,1,Jul 2012,Jul 2012,Finished Airing,N/A,N/A,,,Studio Chizu,Original,"Award Winning, Slice of Life, Supernatural",N/A,1 hr. 57 min.,PG-13 - Teens 13 or older,#246,"853,963","11,759",N/A,N/A
119,8.56,Shingeki no Kyojin,16498,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,TV,25,Apr 2013,Sep 2013,Finished Airing,Spring 2013,Sundays at 01:58 (JST),,,Wit Studio,Manga,"Action, Award Winning, Drama, Suspense",Shounen,24 min. per ep.,R - 17+ (violence &amp; profanity),#1,"4,239,741","183,713","Apr 7, 2013","Sep 29, 2013"
120,8.56,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",32,https://myanimelist.net/anime/32/Shinseiki_Evangelion_Movie__Air_Magokoro_wo_Kimi_ni,Movie,1,Jul 1997,Jul 1997,Finished Airing,N/A,N/A,,,"Gainax, Production I.G",Original,"Avant Garde, Drama, Sci-Fi, Suspense",N/A,1 hr. 26 min.,R+ - Mild Nudity,#178,"1,009,194","31,395",N/A,N/A
121,8.56,Uma Musume: Cinderella Gray,59636,https://myanimelist.net/anime/59636/Uma_Musume__Cinderella_Gray,TV,13,Apr 2025,Jun 2025,Finished Airing,Spring 2025,Sundays at 16:30 (JST),,"None found,",CygamesPictures,Manga,"Drama, Sports",Seinen,23 min. per ep.,PG-13 - Teens 13 or older,#3003,"64,967",813,"Apr 6, 2025","Jun 29, 2025"
122,8.56,[Oshi no Ko],52034,https://myanimelist.net/anime/52034/Oshi_no_Ko,TV,11,Apr 2023,Jun 2023,Finished Airing,Spring 2023,Wednesdays at 23:00 (JST),,,Doga Kobo,Manga,"Award Winning, Drama",Seinen,30 min. per ep.,PG-13 - Teens 13 or older,#186,"987,899","30,579","Apr 12, 2023","Jun 28, 2023"
123,8.56,Doupo Cangqiong: San Nian Zhi Yue,49701,https://myanimelist.net/anime/49701/Doupo_Cangqiong__San_Nian_Zhi_Yue,ONA,13,Oct 2021,Jan 2022,Finished Airing,N/A,N/A,,"None found,",Motion Magic,Novel,"Action, Fantasy",N/A,24 min. per ep.,PG-13 - Teens 13 or older,#6746,"11,012",206,"Oct 31, 2021","Jan 16, 2022"
124,8.56,Haikyuu!! To the Top Part 2,40776,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2,TV,12,Oct 2020,Dec 2020,Finished Airing,Fall 2020,Saturdays at 02:25 (JST),,,Production I.G,Manga,Sports,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#218,"900,474","6,427","Oct 3, 2020","Dec 19, 2020"
125,8.55,Kimetsu no Yaiba Movie: Mugen Ressha-hen,40456,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,Movie,1,Oct 2020,Oct 2020,Finished Airing,N/A,N/A,,,ufotable,Manga,"Action, Supernatural",Shounen,1 hr. 56 min.,R - 17+ (violence &amp; profanity),#71,"1,714,722","13,468",N/A,N/A
126,8.55,Kimi no Suizou wo Tabetai,36098,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,Movie,1,Sep 2018,Sep 2018,Finished Airing,N/A,N/A,,,Studio VOLN,Novel,"Drama, Romance",N/A,1 hr. 48 min.,PG-13 - Teens 13 or older,#161,"1,074,996","22,681",N/A,N/A
127,8.55,Perfect Blue,437,https://myanimelist.net/anime/437/Perfect_Blue,Movie,1,Feb 1998,Feb 1998,Finished Airing,N/A,N/A,,,Madhouse,Novel,"Avant Garde, Award Winning, Drama, Horror, Suspense",N/A,1 hr. 21 min.,R+ - Mild Nudity,#280,"788,442","21,173",N/A,N/A
128,8.55,Shouwa Genroku Rakugo Shinjuu,28735,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu,TV,13,Jan 2016,Apr 2016,Finished Airing,Winter 2016,Saturdays at 02:25 (JST),,"None found,",Studio Deen,Manga,Drama,Josei,26 min. per ep.,PG-13 - Teens 13 or older,#883,"308,540","5,931","Jan 9, 2016","Apr 2, 2016"
129,8.55,Slam Dunk,170,https://myanimelist.net/anime/170/Slam_Dunk,TV,101,Oct 1993,Mar 1996,Finished Airing,Fall 1993,Saturdays at 19:30 (JST),,,Toei Animation,Manga,Sports,Shounen,23 min. per ep.,PG-13 - Teens 13 or older,#810,"329,512","7,918","Oct 16, 1993","Mar 23, 1996"
130,8.55,Steins;Gate 0,30484,https://myanimelist.net/anime/30484/Steins_Gate_0,TV,23,Apr 2018,Sep 2018,Finished Airing,Spring 2018,Thursdays at 01:35 (JST),,,White Fox,Visual novel,"Drama, Sci-Fi, Suspense",N/A,23 min. per ep.,PG-13 - Teens 13 or older,#206,"932,622","12,533","Apr 12, 2018","Sep 27, 2018"
131,8.55,Yojouhan Shinwa Taikei,7785,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei,TV,11,Apr 2010,Jul 2010,Finished Airing,Spring 2010,Fridays at 00:45 (JST),,,Madhouse,Novel,"Award Winning, Comedy, Mystery, Romance, Suspense",N/A,22 min. per ep.,R - 17+ (violence &amp; profanity),#514,"483,191","18,932","Apr 23, 2010","Jul 2, 2010"
132,8.54,[Oshi no Ko] 2nd Season,55791,https://myanimelist.net/anime/55791/Oshi_no_Ko_2nd_Season,TV,13,Jul 2024,Oct 2024,Finished Airing,Summer 2024,Wednesdays at 23:00 (JST),,,Doga Kobo,Manga,Drama,Seinen,25 min. per ep.,PG-13 - Teens 13 or older,#530,"471,145","5,841","Jul 3, 2024","Oct 6, 2024"
133,8.54,Fate/Zero 2nd Season,11741,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,TV,12,Apr 2012,Jun 2012,Finished Airing,Spring 2012,Sundays at 00:00 (JST),,,ufotable,Light novel,"Action, Fantasy",N/A,24 min. per ep.,R - 17+ (violence &amp; profanity),#138,"1,174,367","20,633","Apr 8, 2012","Jun 24, 2012"
134,8.53,Fruits Basket 2nd Season,40417,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season,TV,25,Apr 2020,Sep 2020,Finished Airing,Spring 2020,Tuesdays at 01:30 (JST),,,TMS Entertainment,Manga,"Drama, Romance, Supernatural",Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,#433,"567,132","6,386","Apr 7, 2020","Sep 22, 2020"
135,8.53,Hotaru no Haka,578,https://myanimelist.net/anime/578/Hotaru_no_Haka,Movie,1,Apr 1988,Apr 1988,Finished Airing,N/A,N/A,"None found,",,Studio Ghibli,Novel,Drama,N/A,1 hr. 28 min.,PG-13 - Teens 13 or older,#298,"742,432","8,911",N/A,N/A
136,8.53,Shingeki no Kyojin Season 2,25777,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,TV,12,Apr 2017,Jun 2017,Finished Airing,Spring 2017,Saturdays at 22:00 (JST),,,Wit Studio,Manga,"Action, Drama, Suspense",Shounen,24 min. per ep.,R - 17+ (violence &amp; profanity),#12,"2,934,992","22,642","Apr 1, 2017","Jun 17, 2017"
137,8.53,Zoku Natsume Yuujinchou,5300,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou,TV,13,Jan 2009,Mar 2009,Finished Airing,Winter 2009,Tuesdays at 01:00 (JST),,,Brain&#039;s Base,Manga,"Slice of Life, Supernatural",Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,#1036,"262,859","1,496","Jan 6, 2009","Mar 31, 2009"
138,8.53,Jujutsu Kaisen,40748,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,TV,24,Oct 2020,Mar 2021,Finished Airing,Fall 2020,Saturdays at 01:25 (JST),,,MAPPA,Manga,"Action, Award Winning, Supernatural",Shounen,23 min. per ep.,R - 17+ (violence &amp; profanity),#13,"2,890,257","94,224","Oct 3, 2020","Mar 27, 2021"
139,8.52,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,53273,https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3,ONA,14,Dec 2022,Dec 2022,Finished Airing,N/A,N/A,,,David Production,Manga,"Action, Adventure",Shounen,24 min. per ep.,R - 17+ (violence &amp; profanity),#1001,"270,218","3,349",N/A,N/A
140,8.52,Mushishi: Hihamukage,21329,https://myanimelist.net/anime/21329/Mushishi__Hihamukage,Special,1,Jan 2014,Jan 2014,Finished Airing,N/A,N/A,,"None found,",Artland,Manga,"Adventure, Mystery, Slice of Life, Supernatural",Seinen,44 min.,PG-13 - Teens 13 or older,#1710,"150,222",209,N/A,N/A
